id,group,yr
A,241,2016
A,242,2016
A,243,2016
A,244,2016
A,245,2016
A,246,2016
A,247,2016
A,248,2016
A,249,2016
A,250,2016
A,251,2016
A,252,2016
A,253,2016
A,254,2016
A,255,2016
A,256,2016
A,257,2016
A,258,2016
A,259,2016
A,260,2016
A,261,2016
A,262,2016
A,263,2016
A,264,2016
A,265,2016
A,266,2016
A,267,2016
A,268,2016
A,269,2016
A,270,2016
A,271,2016
A,272,2016
A,273,2016
A,274,2016
A,275,2016
A,276,2016
A,277,2016
A,278,2016
A,279,2016
A,280,2016
A,281,2016
A,282,2016
A,283,2016
A,284,2016
A,285,2016
A,286,2016
A,287,2016
A,288,2016
A,289,2016
A,290,2016
A,291,2016
A,292,2016
A,293,2016
A,294,2016
A,295,2016
A,296,2016
A,297,2016
A,298,2016
A,299,2016
A,300,2016
A,301,2016
A,302,2016
A,303,2016
A,304,2016
A,305,2016
A,306,2016
A,307,2016
A,308,2016
A,309,2016
A,310,2016
A,311,2016
A,312,2016
A,313,2016
A,314,2016
A,315,2016
A,316,2016
A,317,2016
A,318,2016
A,319,2016
A,320,2016
A,321,2016
A,322,2016
A,323,2016
A,324,2016
A,325,2016
A,326,2016
A,327,2016
A,328,2016
A,329,2016
A,330,2016
A,331,2016
A,332,2016
A,333,2016
A,334,2016
A,335,2016
A,336,2016
A,337,2016
A,338,2016
A,339,2016
A,340,2016
A,341,2016
A,342,2016
A,343,2016
A,344,2016
A,345,2016
A,346,2016
A,347,2016
A,348,2016
A,349,2016
A,350,2016
A,351,2016
A,352,2016
A,353,2016
A,354,2016
A,355,2016
A,356,2016
A,357,2016
A,358,2016
A,359,2016
A,360,2016
A,361,2016
A,362,2016
A,363,2016
A,364,2016
A,365,2016
A,366,2016
A,367,2016
A,368,2016
A,369,2016
A,370,2016
A,371,2016
A,372,2016
A,373,2016
A,374,2016
A,375,2016
A,376,2016
A,377,2016
A,378,2016
A,379,2016
A,380,2016
A,381,2016
A,382,2016
A,383,2016
A,384,2016
A,385,2016
A,386,2016
A,387,2016
A,388,2016
A,389,2016
A,390,2016
A,391,2016
A,392,2016
A,393,2016
A,394,2016
A,395,2016
A,396,2016
A,397,2016
A,398,2016
A,399,2016
A,400,2016
A,401,2016
A,402,2016
A,403,2016
A,404,2016
A,405,2016
A,406,2016
A,407,2016
A,408,2016
A,409,2016
A,410,2016
A,411,2016
A,412,2016
A,413,2016
A,414,2016
A,415,2016
A,416,2016
A,417,2016
A,418,2016
A,419,2016
A,420,2016
A,421,2016
A,422,2016
A,423,2016
A,424,2016
A,425,2016
A,426,2016
A,427,2016
A,428,2016
A,429,2016
A,430,2016
A,431,2016
A,432,2016
A,433,2016
A,434,2016
A,435,2016
A,436,2016
A,437,2016
A,438,2016
A,439,2016
A,440,2016
A,441,2016
A,442,2016
A,443,2016
A,444,2016
A,445,2016
A,446,2016
A,447,2016
A,448,2016
A,449,2016
A,450,2016
A,451,2016
A,452,2016
A,453,2016
A,454,2016
A,455,2016
A,456,2016
A,457,2016
A,458,2016
A,459,2016
A,460,2016
A,461,2016
A,462,2016
A,463,2016
A,464,2016
A,465,2016
A,466,2016
A,467,2016
A,468,2016
A,469,2016
A,470,2016
A,471,2016
A,472,2016
A,473,2016
A,474,2016
A,475,2016
A,476,2016
A,477,2016
A,478,2016
A,479,2016
A,480,2016
A,481,2016
A,482,2016
A,483,2016
A,484,2016
A,485,2016
A,486,2016
A,487,2016
A,488,2016
A,489,2016
A,490,2016
A,491,2016
A,492,2016
A,493,2016
A,494,2016
A,495,2016
A,496,2016
A,497,2016
A,498,2016
A,499,2016
A,500,2016
A,501,2016
A,502,2016
A,503,2016
A,504,2016
A,505,2016
A,506,2016
A,507,2016
A,508,2016
A,509,2016
A,510,2016
A,511,2016
A,512,2016
A,513,2016
A,514,2016
A,515,2016
A,516,2016
A,517,2016
A,518,2016
A,519,2016
A,520,2016
A,521,2016
A,522,2016
A,523,2016
A,524,2016
A,525,2016
A,526,2016
A,527,2016
A,528,2016
A,529,2016
A,530,2016
A,531,2016
A,532,2016
A,533,2016
A,534,2016
A,535,2016
A,536,2016
A,537,2016
A,538,2016
A,539,2016
A,540,2016
A,541,2016
A,542,2016
A,543,2016
A,544,2016
A,545,2016
A,546,2016
A,547,2016
A,548,2016
A,549,2016
A,550,2016
A,551,2016
A,552,2016
A,553,2016
A,554,2016
A,555,2016
A,556,2016
A,557,2016
A,558,2016
A,559,2016
A,560,2016
A,561,2016
A,562,2016
A,563,2016
A,564,2016
A,565,2016
A,566,2016
A,567,2016
A,568,2016
A,569,2016
A,570,2016
A,571,2016
A,572,2016
A,573,2016
A,574,2016
A,575,2016
A,576,2016
A,577,2016
A,578,2016
A,579,2016
A,580,2016
A,581,2016
A,582,2016
A,583,2016
A,584,2016
A,585,2016
A,586,2016
A,587,2016
A,588,2016
A,589,2016
A,590,2016
A,591,2016
A,592,2016
A,593,2016
A,594,2016
A,595,2016
A,596,2016
A,597,2016
A,598,2016
A,599,2016
A,600,2016
A,601,2016
A,602,2016
A,603,2016
A,604,2016
A,605,2016
A,606,2016
A,607,2016
A,608,2016
A,609,2016
A,610,2016
A,611,2016
A,612,2016
A,613,2016
A,614,2016
A,615,2016
A,616,2016
A,617,2016
A,618,2016
A,619,2016
A,620,2016
A,621,2016
A,622,2016
A,623,2016
A,624,2016
A,625,2016
A,626,2016
A,627,2016
A,628,2016
A,629,2016
A,630,2016
A,631,2016
A,632,2016
A,633,2016
A,634,2016
A,635,2016
A,636,2016
A,637,2016
A,638,2016
A,639,2016
A,640,2016
A,641,2016
A,642,2016
A,643,2016
A,644,2016
A,645,2016
A,646,2016
A,647,2016
A,648,2016
A,649,2016
A,650,2016
A,651,2016
A,652,2016
A,653,2016
A,654,2016
A,655,2016
A,656,2016
A,657,2016
A,658,2016
A,659,2016
A,660,2016
A,661,2016
A,662,2016
A,663,2016
A,664,2016
A,665,2016
A,666,2016
A,667,2016
A,668,2016
A,669,2016
A,670,2016
A,671,2016
A,672,2016
A,673,2016
A,674,2016
A,675,2016
A,676,2016
A,677,2016
A,678,2016
A,679,2016
A,680,2016
A,681,2016
A,682,2016
A,683,2016
A,684,2016
A,685,2016
A,686,2016
A,687,2016
A,688,2016
A,689,2016
A,690,2016
A,691,2016
A,692,2016
A,693,2016
A,694,2016
A,695,2016
A,696,2016
A,697,2016
A,698,2016
A,699,2016
A,700,2016
A,701,2016
A,702,2016
A,703,2016
A,704,2016
A,705,2016
A,706,2016
A,707,2016
A,708,2016
A,709,2016
A,710,2016
A,711,2016
A,712,2016
A,713,2016
A,714,2016
A,715,2016
A,716,2016
A,717,2016
A,718,2016
A,719,2016
A,720,2016
A,721,2016
A,722,2016
A,723,2016
A,724,2016
A,725,2016
A,726,2016
A,727,2016
A,728,2016
A,729,2016
A,730,2016
A,731,2016
A,732,2016
A,733,2017
A,734,2017
A,735,2017
A,736,2017
A,737,2017
A,738,2017
A,739,2017
A,740,2017
A,741,2017
A,742,2017
A,743,2017
A,744,2017
A,745,2017
A,746,2017
A,747,2017
A,748,2017
A,749,2017
A,750,2017
A,751,2017
A,752,2017
A,753,2017
A,754,2017
A,755,2017
A,756,2017
A,757,2017
A,758,2017
A,759,2017
A,760,2017
A,761,2017
A,762,2017
A,763,2017
A,764,2017
A,765,2017
A,766,2017
A,767,2017
A,768,2017
A,769,2017
A,770,2017
A,771,2017
A,772,2017
A,773,2017
A,774,2017
A,775,2017
A,776,2017
A,777,2017
A,778,2017
A,779,2017
A,780,2017
A,781,2017
A,782,2017
A,783,2017
A,784,2017
A,785,2017
A,786,2017
A,787,2017
A,788,2017
A,789,2017
A,790,2017
A,791,2017
A,792,2017
A,793,2017
A,794,2017
A,795,2017
A,796,2017
A,797,2017
A,798,2017
A,799,2017
A,800,2017
A,801,2017
A,802,2017
A,803,2017
A,804,2017
A,805,2017
A,806,2017
A,807,2017
A,808,2017
A,809,2017
A,810,2017
A,811,2017
A,812,2017
A,813,2017
A,814,2017
A,815,2017
A,816,2017
A,817,2017
A,818,2017
A,819,2017
A,820,2017
A,821,2017
A,822,2017
A,823,2017
A,824,2017
A,825,2017
A,826,2017
A,827,2017
A,828,2017
A,829,2017
A,830,2017
A,831,2017
A,832,2017
A,833,2017
A,834,2017
A,835,2017
A,836,2017
A,837,2017
A,838,2017
A,839,2017
A,840,2017
A,841,2017
A,842,2017
A,843,2017
A,844,2017
A,845,2017
A,846,2017
A,847,2017
A,848,2017
A,849,2017
A,850,2017
A,851,2017
A,852,2017
A,853,2017
A,854,2017
A,855,2017
A,856,2017
A,857,2017
A,858,2017
A,859,2017
A,860,2017
A,861,2017
A,862,2017
A,863,2017
A,864,2017
A,865,2017
A,866,2017
A,867,2017
A,868,2017
A,869,2017
A,870,2017
A,871,2017
A,872,2017
A,873,2017
A,874,2017
A,875,2017
A,876,2017
A,877,2017
A,878,2017
A,879,2017
A,880,2017
A,881,2017
A,882,2017
A,883,2017
A,884,2017
A,885,2017
A,886,2017
A,887,2017
A,888,2017
A,889,2017
A,890,2017
A,891,2017
A,892,2017
A,893,2017
A,894,2017
A,895,2017
A,896,2017
A,897,2017
A,898,2017
A,899,2017
A,900,2017
A,901,2017
A,902,2017
A,903,2017
A,904,2017
A,905,2017
A,906,2017
A,907,2017
A,908,2017
A,909,2017
A,910,2017
A,911,2017
A,912,2017
A,913,2017
A,914,2017
A,915,2017
A,916,2017
A,917,2017
A,918,2017
A,919,2017
A,920,2017
A,921,2017
A,922,2017
A,923,2017
A,924,2017
A,925,2017
A,926,2017
A,927,2017
A,928,2017
A,929,2017
A,930,2017
A,931,2017
A,932,2017
A,933,2017
A,934,2017
A,935,2017
A,936,2017
A,937,2017
A,938,2017
A,939,2017
A,940,2017
A,941,2017
A,942,2017
A,943,2017
A,944,2017
A,945,2017
A,946,2017
A,947,2017
A,948,2017
A,949,2017
A,950,2017
A,951,2017
A,952,2017
A,953,2017
A,954,2017
A,955,2017
A,956,2017
A,957,2017
A,958,2017
A,959,2017
A,960,2017
A,961,2017
A,962,2017
A,963,2017
A,964,2017
A,965,2017
A,966,2017
A,967,2017
A,968,2017
A,969,2017
A,970,2017
A,971,2017
A,972,2017
A,973,2017
A,974,2017
A,975,2017
A,976,2017
A,977,2017
A,978,2017
A,979,2017
A,980,2017
A,981,2017
A,982,2017
A,983,2017
A,984,2017
A,985,2017
A,986,2017
A,987,2017
A,988,2017
A,989,2017
A,990,2017
A,991,2017
A,992,2017
A,993,2017
A,994,2017
A,995,2017
A,996,2017
A,997,2017
A,998,2017
A,999,2017
A,1000,2017
A,1001,2017
A,1002,2017
A,1003,2017
A,1004,2017
A,1005,2017
A,1006,2017
A,1007,2017
A,1008,2017
A,1009,2017
A,1010,2017
A,1011,2017
A,1012,2017
A,1013,2017
A,1014,2017
A,1015,2017
A,1016,2017
A,1017,2017
A,1018,2017
A,1019,2017
A,1020,2017
A,1021,2017
A,1022,2017
A,1023,2017
A,1024,2017
A,1025,2017
A,1026,2017
A,1027,2017
A,1028,2017
A,1029,2017
A,1030,2017
A,1031,2017
A,1032,2017
A,1033,2017
A,1034,2017
A,1035,2017
A,1036,2017
A,1037,2017
A,1038,2017
A,1039,2017
A,1040,2017
A,1041,2017
A,1042,2017
A,1043,2017
A,1044,2017
A,1045,2017
A,1046,2017
A,1047,2017
A,1048,2017
A,1049,2017
A,1050,2017
A,1051,2017
A,1052,2017
A,1053,2017
A,1054,2017
A,1055,2017
A,1056,2017
A,1057,2017
A,1058,2017
A,1059,2017
A,1060,2017
A,1061,2017
A,1062,2017
A,1063,2017
A,1064,2017
A,1065,2017
A,1066,2017
A,1067,2017
A,1068,2017
A,1069,2017
A,1070,2017
A,1071,2017
A,1072,2017
A,1073,2017
A,1074,2017
A,1075,2017
A,1076,2017
A,1077,2017
A,1078,2017
A,1079,2017
A,1080,2017
A,1081,2017
A,1082,2017
A,1083,2017
A,1084,2017
A,1085,2017
A,1086,2017
A,1087,2017
A,1088,2017
A,1089,2017
A,1090,2017
A,1091,2017
A,1092,2017
A,1093,2017
A,1094,2017
A,1095,2017
A,1096,2017
A,1097,2017
A,1098,2017
A,1099,2017
A,1100,2017
A,1101,2017
A,1102,2017
A,1103,2017
A,1104,2017
A,1105,2017
A,1106,2017
A,1107,2017
A,1108,2017
A,1109,2017
A,1110,2017
A,1111,2017
A,1112,2017
A,1113,2017
A,1114,2017
A,1115,2017
A,1116,2017
A,1117,2017
A,1118,2017
A,1119,2017
A,1120,2017
A,1121,2017
A,1122,2017
A,1123,2017
A,1124,2017
A,1125,2017
A,1126,2017
A,1127,2017
A,1128,2017
A,1129,2017
A,1130,2017
A,1131,2017
A,1132,2017
A,1133,2017
A,1134,2017
A,1135,2017
A,1136,2017
A,1137,2017
A,1138,2017
A,1139,2017
A,1140,2017
A,1141,2017
A,1142,2017
A,1143,2017
A,1144,2017
A,1145,2017
A,1146,2017
A,1147,2017
A,1148,2017
A,1149,2017
A,1150,2017
A,1151,2017
A,1152,2017
A,1153,2017
A,1154,2017
A,1155,2017
A,1156,2017
A,1157,2017
A,1158,2017
A,1159,2017
A,1160,2017
A,1161,2017
A,1162,2017
A,1163,2017
A,1164,2017
A,1165,2017
A,1166,2017
A,1167,2017
A,1168,2017
A,1169,2017
A,1170,2017
A,1171,2017
A,1172,2017
A,1173,2017
A,1174,2017
A,1175,2017
A,1176,2017
A,1177,2017
A,1178,2017
A,1179,2017
A,1180,2017
A,1181,2017
A,1182,2017
A,1183,2017
A,1184,2017
A,1185,2017
A,1186,2017
A,1187,2017
A,1188,2017
A,1189,2017
A,1190,2017
A,1191,2017
A,1192,2017
A,1193,2017
A,1194,2017
A,1195,2017
A,1196,2017
A,1197,2017
A,1198,2017
A,1199,2017
A,1200,2017
A,1201,2017
A,1202,2017
A,1203,2017
A,1204,2017
A,1205,2017
A,1206,2017
A,1207,2017
A,1208,2017
A,1209,2017
A,1210,2017
A,1211,2017
A,1212,2017
A,1213,2017
A,1214,2017
A,1215,2017
A,1216,2017
A,1217,2017
A,1218,2017
A,1219,2017
A,1220,2017
A,1221,2017
A,1222,2017
A,1223,2017
A,1224,2017
A,1225,2017
A,1226,2017
A,1227,2017
A,1228,2017
A,1229,2017
A,1230,2017
A,1231,2017
A,1232,2017
A,1233,2017
A,1234,2017
A,1235,2017
A,1236,2017
A,1237,2017
A,1238,2017
A,1239,2017
A,1240,2017
A,1241,2017
A,1242,2017
A,1243,2017
A,1244,2017
A,1245,2017
A,1246,2017
A,1247,2017
A,1248,2017
A,1249,2017
A,1250,2017
A,1251,2017
A,1252,2017
A,1253,2017
A,1254,2017
A,1255,2017
A,1256,2017
A,1257,2017
A,1258,2017
A,1259,2017
A,1260,2017
A,1261,2017
A,1262,2017
A,1263,2017
A,1264,2017
A,1265,2017
A,1266,2017
A,1267,2017
A,1268,2017
A,1269,2017
A,1270,2017
A,1271,2017
A,1272,2017
A,1273,2017
A,1274,2017
A,1275,2017
A,1276,2017
A,1277,2017
A,1278,2017
A,1279,2017
A,1280,2017
A,1281,2017
A,1282,2017
A,1283,2017
A,1284,2017
A,1285,2017
A,1286,2017
A,1287,2017
A,1288,2017
A,1289,2017
A,1290,2017
A,1291,2017
A,1292,2017
A,1293,2017
A,1294,2017
A,1295,2017
A,1296,2017
A,1297,2017
A,1298,2017
A,1299,2017
A,1300,2017
A,1301,2017
A,1302,2017
A,1303,2017
A,1304,2017
A,1305,2017
A,1306,2017
A,1307,2017
A,1308,2017
A,1309,2017
A,1310,2017
A,1311,2017
A,1312,2017
A,1313,2017
A,1314,2017
A,1315,2017
A,1316,2017
A,1317,2017
A,1318,2017
A,1319,2017
A,1320,2017
A,1321,2017
A,1322,2017
A,1323,2017
A,1324,2017
A,1325,2017
A,1326,2017
A,1327,2017
A,1328,2017
A,1329,2017
A,1330,2017
A,1331,2017
A,1332,2017
A,1333,2017
A,1334,2017
A,1335,2017
A,1336,2017
A,1337,2017
A,1338,2017
A,1339,2017
A,1340,2017
A,1341,2017
A,1342,2017
A,1343,2017
A,1344,2017
A,1345,2017
A,1346,2017
A,1347,2017
A,1348,2017
A,1349,2017
A,1350,2017
A,1351,2017
A,1352,2017
A,1353,2017
A,1354,2017
A,1355,2017
A,1356,2017
A,1357,2017
A,1358,2017
A,1359,2017
A,1360,2017
A,1361,2017
A,1362,2017
A,1363,2017
A,1364,2017
A,1365,2017
